,tconst,primaryTitle,originalTitle,startYear,genres,averageRating,numVotes
78652,tt0080339,Airplane,Airplane!,1980,Comedy,7.5,41.0
81752,tt0083530,AirplaneIITheSequel,Airplane II: The Sequel,1982,"Comedy,Sci-Fi",5.2,719.0
2220497,tt1712170,AlexCross,Alex Cross,2012,"Action,Crime,Mystery",,
332306,tt0346491,Alexander,Alexander,2004,"Action,Biography,Drama",7.8,170.0
29343,tt0029850,AlexanderNevsky,Aleksandr Nevskiy,1938,"Action,Biography,Drama",5.4,1127.0
273142,tt0284837,AliGIndahouse,Ali G Indahouse,2002,Comedy,7.4,9.0
74582,tt0076150,AliceSweetAlice,Communion,1976,"Horror,Mystery,Thriller",8.4,8.0
77115,tt0078748,Alien,Alien,1979,"Horror,Sci-Fi",6.0,91.0
92580,tt0094631,AlienNation,Alien Nation,1988,"Action,Sci-Fi",4.8,60.0
115942,tt0118583,AlienResurrection,Alien Resurrection,1997,"Action,Horror,Sci-Fi",5.9,37.0
41471,tt0042192,AllAboutEve,All About Eve,1950,Drama,7.4,15.0
285474,tt0297721,AllAboutLilyChouChou,Riri Shushu no subete,2001,"Crime,Drama,Music",7.7,17.0
2512412,tt2017038,AllIsLost,All Is Lost,2013,"Action,Adventure,Drama",,
2338134,tt1836212,AllSuperheroesMustDie,All Superheroes Must Die,2011,"Sci-Fi,Thriller",,
46965,tt0047811,AllThatHeavenAllows,All That Heaven Allows,1955,"Drama,Romance",4.7,55.0
77121,tt0078754,AllThatJazz,All That Jazz,1979,"Drama,Music,Musical",6.2,71.0
54704,tt0055740,AlmostAngels,Almost Angels,1962,"Comedy,Family,Music",5.9,3037.0
116394,tt0119053,AlmostHeroes,Almost Heroes,1998,"Adventure,Comedy,Western",4.0,6.0
329039,tt0343135,AlongCamePolly,Along Came Polly,2004,"Comedy,Romance",8.0,6.0
410207,tt0426883,AlphaDog,Alpha Dog,2006,"Biography,Crime,Drama",8.0,67.0
78673,tt0080360,AlteredStates,Altered States,1980,"Horror,Sci-Fi,Thriller",7.5,23.0
69697,tt0071129,Amarcord,Amarcord,1973,"Comedy,Drama",6.7,48.0
21271,tt0021606,AmbassadorBill,Ambassador Bill,1931,Comedy,6.0,64.0
88676,tt0090630,America3000,America 3000,1986,"Action,Adventure,Sci-Fi",6.4,45.0
163943,tt0169547,AmericanBeauty,American Beauty,1999,Drama,5.6,5.0
742348,tt0765429,AmericanGangster,American Gangster,2007,"Biography,Crime,Drama",8.1,7.0
117847,tt0120586,AmericanHistoryX,American History X,1998,Drama,5.6,198.0
2303575,tt1800241,AmericanHustle,American Hustle,2013,"Crime,Drama",,
2456690,tt1959332,AmericanMary,American Mary,2012,"Drama,Horror",,
101425,tt0103671,AmericanMe,American Me,1992,"Biography,Crime,Drama",5.7,20.0
175100,tt0181288,AmericanMovie,American Movie,1999,"Comedy,Documentary",5.3,49.0
86792,tt0088708,AmericanNinja,American Ninja,1985,"Action,Adventure,Romance",5.4,207.0
2664977,tt2179136,AmericanSniper,American Sniper,2014,"Action,Biography,Drama",,
254202,tt0265029,AmericasSweethearts,America's Sweethearts,2001,"Comedy,Romance",6.3,36.0
77133,tt0078766,Americathon,Americathon,1979,Comedy,6.3,50.0
115962,tt0118607,Amistad,Amistad,1997,"Drama,History",4.4,7.0
235744,tt0245712,AmoresPerros,Amores perros,2000,"Drama,Thriller",6.6,115.0
92600,tt0094651,Amsterdamned,Amsterdamned,1988,"Action,Crime,Horror",4.9,11.0
458962,tt0476958,Amusement,Amusement,2008,"Action,Comedy,Crime",7.3,80.0
1718753,tt1190617,AnAmericanCarol,An American Carol,2008,"Comedy,Fantasy",,
778672,tt0802948,AnAmericanCrime,An American Crime,2007,"Biography,Crime,Drama",4.7,306.0
412849,tt0429573,AnAmericanHaunting,An American Haunting,2005,"Drama,History,Horror",5.9,23.0
1703511,tt1174732,AnEducation,An Education,2009,Drama,,
478546,tt0497116,AnInconvenientTruth,An Inconvenient Truth,2006,"Documentary,News",6.9,8.0
119905,tt0122933,AnalyzeThis,Analyze This,1999,"Comedy,Crime",5.1,11.0
478746,tt0497323,Anamorph,Anamorph,2007,"Crime,Horror,Thriller",6.2,152.0
1755865,tt1229340,Anchorman2TheLegendContinues,Anchorman 2: The Legend Continues,2013,Comedy,,
36868,tt0037514,AnchorsAweigh,Anchors Aweigh,1945,"Comedy,Fantasy,Music",5.6,2557.0
99127,tt0101343,AndYouThoughtYourParentsWereWeird,And You Thought Your Parents Were Weird,1991,"Comedy,Family,Fantasy",4.7,38.0
292599,tt0305224,AngerManagement,Anger Management,2003,Comedy,7.6,5.0
109940,tt0112368,Angus,Angus,1995,"Comedy,Drama",6.2,6.0
74131,tt0075686,AnnieHall,Annie Hall,1977,"Comedy,Romance",8.2,19.0
2063520,tt1549572,AnotherEarth,Another Earth,2011,"Drama,Romance,Sci-Fi",,
426365,tt0443431,AnotherGayMovie,Another Gay Movie,2006,"Comedy,Romance",7.4,131.0
460910,tt0478970,AntMan,Ant-Man,2015,"Action,Adventure,Comedy",9.2,12.0
844592,tt0870984,Antichrist,Antichrist,2009,"Drama,Horror",4.2,117.0
210121,tt0218817,Antitrust,Antitrust,2001,"Action,Crime,Drama",7.1,10.0
2592115,tt2099556,Antiviral,Antiviral,2012,"Horror,Sci-Fi,Thriller",,
163266,tt0168786,AntwoneFisher,Antwone Fisher,2002,"Biography,Drama",6.3,20.0
142576,tt0146838,AnyGivenSunday,Any Given Sunday,1999,"Drama,Sport",6.5,22.0
3047780,tt2848070,Apaches,Les Apaches,2013,Drama,,
77155,tt0078788,ApocalypseNow,Apocalypse Now,1979,"Drama,Mystery,War",7.0,8.0
454199,tt0472043,Apocalypto,Apocalypto,2006,"Action,Adventure,Drama",6.5,6.0
2277438,tt1772240,Apollo18,Apollo 18,2011,"Horror,Mystery,Sci-Fi",,
412867,tt0429591,Aquamarine,Aquamarine,2006,"Comedy,Family,Fantasy",7.2,86.0
96898,tt0099052,Arachnophobia,Arachnophobia,1990,"Comedy,Fantasy,Horror",7.8,84.0
262236,tt0273435,Ararat,Ararat,2002,"Drama,War",7.6,39.0
2270060,tt1764183,Arbitrage,Arbitrage,2012,"Drama,Thriller",,
474435,tt0492896,ArchiesFinalProject,My Suicide,2009,"Comedy,Drama",5.3,165.0
353783,tt0368578,AreWeThereYet,Are We There Yet?,2005,"Adventure,Comedy,Family",7.4,7.0
133587,tt0137363,ArlingtonRoad,Arlington Road,1999,"Crime,Drama,Thriller",7.1,19.0
885422,tt0913354,Armored,Armored,2009,"Action,Crime,Thriller",8.1,10.0
1948763,tt1430607,ArthurChristmas,Arthur Christmas,2011,"Adventure,Animation,Comedy",,
5131212,tt7507268,AsGoodAsItGets,As Good As It Gets?,2018,Documentary,,
104016,tt0106315,AspenExtreme,Aspen Extreme,1993,"Drama,Romance,Sport",3.5,12.0
1995383,tt1478800,AssaultGirls,Asaruto gâruzu,2009,"Action,Sci-Fi",,
1127938,tt1027820,AsylumBlackout,The Incident,2011,"Horror,Thriller",,
71197,tt0072665,AtLongLastLove,At Long Last Love,1975,"Comedy,Musical",4.9,93.0
56148,tt0057215,Atragon,Kaitei gunkan,1963,"Adventure,Family,Sci-Fi",4.8,59.0
410255,tt0426931,AugustRush,August Rush,2007,"Drama,Music",7.8,22.0
2481523,tt1985019,Austenland,Austenland,2013,"Comedy,Romance",,
78023,tt0079679,AutumnMarathon,Osenniy marafon,1979,"Comedy,Drama,Romance",6.5,13.0
3615007,tt4154756,AvengersInfinityWar,Avengers: Infinity War,2018,"Action,Adventure,Sci-Fi",,
88724,tt0090678,AvengingForce,Avenging Force,1986,"Action,Drama,Thriller",7.0,39.0
1705439,tt1176740,AwayWeGo,Away We Go,2009,"Comedy,Drama,Romance",,
334861,tt0349113,AxEm,The Weekend It Lives,1992,"Comedy,Horror,Mystery",8.5,289.0
74155,tt0075710,Axe,"Lisa, Lisa",1974,"Horror,Thriller",7.1,1344.0
369240,tt0384819,Azumi,Azumi,2003,"Action,Adventure,Drama",4.9,105.0
83380,tt0085204,BMXBandits,BMX Bandits,1983,"Adventure,Crime,Drama",5.3,31.0
90603,tt0092603,BabettesFeast,Babettes gæstebud,1987,Drama,6.4,5.0
90605,tt0092605,BabyBoom,Baby Boom,1987,"Comedy,Drama,Romance",5.1,582.0
245375,tt0255819,BabyBoy,Baby Boy,2001,"Crime,Drama,Romance",8.9,19.0
23375,tt0023775,BabyFace,Baby Face,1933,"Drama,Romance",7.3,364.0
116020,tt0118665,BabyGeniuses,Baby Geniuses,1999,"Comedy,Crime,Family",8.0,244.0
845017,tt0871426,BabyMama,Baby Mama,2008,"Comedy,Romance",7.9,7.0
350335,tt0364970,BabylonAD,Babylon A.D.,2008,"Action,Adventure,Sci-Fi",5.8,6.0
106829,tt0109190,BabysDayOut,Baby's Day Out,1994,"Adventure,Comedy,Crime",7.0,1371.0
2419722,tt1920849,Bachelorette,Bachelorette,2012,"Comedy,Romance",,
104040,tt0106339,Backbeat,Backbeat,1994,"Biography,Drama,Music",6.2,51.0
299513,tt0312409,BadEggs,Bad Eggs,2003,"Comedy,Thriller",1.3,52.0
101512,tt0103759,BadLieutenant,Bad Lieutenant,1992,"Crime,Drama,Thriller",7.4,42.0
295240,tt0307987,BadSanta,Bad Santa,2003,"Comedy,Crime,Drama",6.7,36.0
90610,tt0092610,BadTaste,Bad Taste,1987,"Comedy,Horror,Sci-Fi",5.2,35.0
1808544,tt1284575,BadTeacher,Bad Teacher,2011,"Comedy,Romance",,
78721,tt0080408,BadTiming,Bad Timing,1980,"Drama,Mystery,Thriller",8.4,3737.0
2657173,tt2170299,BadWords,Bad Words,2013,"Comedy,Drama",,
68380,tt0069762,Badlands,Badlands,1973,"Crime,Drama",5.7,1746.0
207040,tt0215545,Bamboozled,Bamboozled,2000,"Comedy,Drama,Music",4.9,14.0
400056,tt0416496,Bandidas,Bandidas,2006,"Action,Comedy,Crime",6.9,16.0
946231,tt0976222,Bandslam,Bandslam,2009,"Comedy,Drama,Family",7.8,20.0
61507,tt0062711,Barbarella,Barbarella,1968,"Adventure,Comedy,Fantasy",8.6,39853.0
90618,tt0092618,Barfly,Barfly,1987,"Comedy,Drama,Romance",5.9,30.0
71216,tt0072684,BarryLyndon,Barry Lyndon,1975,"Adventure,Drama,History",5.4,214.0
99194,tt0101410,BartonFink,Barton Fink,1991,"Comedy,Drama,Thriller",6.9,58.0
253605,tt0264395,Basic,Basic,2003,"Action,Crime,Drama",8.0,5.0
101525,tt0103772,BasicInstinct,Basic Instinct,1992,"Drama,Mystery,Thriller",4.0,98.0
357843,tt0372784,BatmanBegins,Batman Begins,2005,"Action,Adventure",7.8,55.0
110032,tt0112462,BatmanForever,Batman Forever,1995,"Action,Adventure,Fantasy",7.0,10.0
101529,tt0103776,BatmanReturns,Batman Returns,1992,"Action,Crime,Fantasy",3.9,7.0
59025,tt0060153,BatmanTheMovie,Batman: The Movie,1966,"Adventure,Comedy,Crime",3.6,1591.0
1744622,tt1217613,BattleLosAngeles,Battle Los Angeles,2011,"Action,Adventure,Fantasy",,
369253,tt0384832,BattlefieldBaseball,Jigoku Kôshien,2003,"Action,Comedy,Horror",6.3,42.0
178729,tt0185183,BattlefieldEarth,Battlefield Earth,2000,"Action,Adventure,Sci-Fi",5.3,203.0
1957981,tt1440129,Battleship,Battleship,2012,"Action,Adventure,Sci-Fi",,
362382,tt0377471,BeCool,Be Cool,2005,"Comedy,Crime,Drama",8.0,52.0
775760,tt0799934,BeKindRewind,Be Kind Rewind,2008,Comedy,7.4,5.0
92664,tt0094715,Beaches,Beaches,1988,"Comedy,Drama,Music",2.9,12.0
116043,tt0118689,Bean,Bean,1997,"Adventure,Comedy,Family",6.6,22.0
372818,tt0388500,BeautyShop,Beauty Shop,2005,Comedy,8.8,11.0
56795,tt0057877,Becket,Becket,1964,"Biography,Drama,History",6.8,236.0
468245,tt0486551,Beerfest,Beerfest,2006,Comedy,6.1,16.0
101539,tt0103786,Beethoven,Beethoven,1992,"Comedy,Drama,Family",7.8,128.0
92670,tt0094721,Beetlejuice,Beetlejuice,1988,"Comedy,Fantasy",4.6,307.0
99204,tt0101420,Begotten,Begotten,1990,"Fantasy,Horror",3.9,10.0
117858,tt0120601,BeingJohnMalkovich,Being John Malkovich,1999,"Comedy,Drama,Fantasy",4.4,5.0
274732,tt0286499,BendItLikeBeckham,Bend It Like Beckham,2002,"Comedy,Drama,Romance",7.0,48.0
1937214,tt1418646,BeneathHill60,Beneath Hill 60,2010,"Drama,History,War",,
2335873,tt1833844,BerberianSoundStudio,Berberian Sound Studio,2012,"Drama,Horror,Thriller",,
2902984,tt2499414,BestNightEver,Best Night Ever,2013,Comedy,,
264602,tt0275902,BetelnutBeauty,Ai ni ai wo,2001,"Drama,Romance",7.0,11.0
268983,tt0280477,BetterLuckTomorrow,Better Luck Tomorrow,2002,"Crime,Drama,Romance",7.8,8.0
86877,tt0088794,BetterOffDead,Better Off Dead...,1985,"Comedy,Romance",7.3,275.0
1053336,tt1014775,BeverlyHillsChihuahua,Beverly Hills Chihuahua,2008,"Adventure,Comedy,Drama",,
116061,tt0118708,BeverlyHillsNinja,Beverly Hills Ninja,1997,"Action,Comedy",5.5,8.0
176488,tt0182789,BicentennialMan,Bicentennial Man,1999,"Comedy,Drama,Sci-Fi",6.0,100.0
2332862,tt1830713,BigAssSpider,Big Ass Spider!,2013,"Action,Adventure,Comedy",,
470601,tt0488962,BigBadWolf,Big Bad Wolf,2006,"Comedy,Horror",3.6,11.0
2780100,tt2309224,BigBadWolves,Big Bad Wolves,2013,"Drama,Horror,Thriller",,
113150,tt0115676,BigBully,Big Bully,1996,"Comedy,Thriller",4.2,13.0
254449,tt0265298,BigFatLiar,Big Fat Liar,2002,"Adventure,Comedy,Family",7.9,304.0
65517,tt0066831,BigJake,Big Jake,1971,Western,5.5,1639.0
199932,tt0208003,BigMommasHouse,Big Momma's House,2000,"Action,Comedy,Crime",5.3,15.0
1900613,tt1380784,BigMoneyRustlas,Big Money Rustlas,2010,"Comedy,Western",,
110077,tt0112508,BillyMadison,Billy Madison,1995,Comedy,7.0,27.0
92695,tt0094746,BiloxiBlues,Biloxi Blues,1988,"Comedy,Drama",8.1,15.0
113157,tt0115683,BioDome,Bio-Dome,1996,Comedy,5.4,5.0
2183683,tt1674047,Birdemic2TheResurrection,Birdemic 2: The Resurrection,2013,"Horror,Thriller",,
181761,tt0188453,BirthdayGirl,Birthday Girl,2001,"Comedy,Crime,Thriller",8.1,12.0
1740218,tt1212974,BitchSlap,Bitch Slap,2009,"Action,Comedy,Crime",,
3722282,tt4393514,BitterLake,Bitter Lake,2015,Documentary,,
102514,tt0104779,BitterMoon,Bitter Moon,1992,"Drama,Romance,Thriller",5.4,14.0
1694248,tt1164999,Biutiful,Biutiful,2010,"Drama,Romance",,
69788,tt0071221,BlackBeltJones,Black Belt Jones,1974,"Action,Comedy",5.6,9.0
68410,tt0069792,BlackCaesar,Black Caesar,1973,"Action,Crime,Drama",7.9,4305.0
116190,tt0118843,BlackCatWhiteCat,"Crna macka, beli macor",1998,"Comedy,Crime,Romance",6.2,17.0
348880,tt0363475,BlackCloud,Black Cloud,2004,Drama,8.3,44.0
1710265,tt1181791,BlackDeath,Black Death,2010,"Action,Drama,History",,
1718675,tt1190536,BlackDynamite,Black Dynamite,2009,"Action,Comedy",,
254257,tt0265087,BlackKnight,Black Knight,2001,"Adventure,Comedy,Fantasy",6.4,35.0
66944,tt0068282,BlackMamaWhiteMama,Black Mama White Mama,1973,"Crime,Drama,Thriller",6.7,19.0
52172,tt0053146,BlackOrpheus,Orfeu Negro,1959,"Drama,Fantasy,Music",4.9,21.0
99249,tt0101465,BlackRobe,Black Robe,1991,"Drama,History,War",6.5,10.0
56530,tt0057603,BlackSabbath,I tre volti della paura,1963,Horror,7.8,56.0
110088,tt0112519,BlackScorpion,Black Scorpion,1995,"Action,Crime,Sci-Fi",3.1,307.0
444621,tt0462200,BlackSnakeMoan,Black Snake Moan,2006,"Drama,Music",5.9,8.0
66946,tt0068284,Blacula,Blacula,1972,"Fantasy,Horror,Romance",7.2,95.0
181103,tt0187738,BladeII,Blade II,2002,"Action,Horror,Sci-Fi",5.6,45.0
81879,tt0083658,BladeRunner,Blade Runner,1982,"Action,Sci-Fi,Thriller",6.6,146.0
344543,tt0359013,BladeTrinity,Blade: Trinity,2004,"Action,Horror,Sci-Fi",5.7,81.0
106923,tt0109287,BlankCheck,Blank Check,1994,"Comedy,Crime,Family",7.1,12.0
106924,tt0109288,Blankman,Blankman,1994,"Action,Comedy,Crime",6.3,6.0
69797,tt0071230,BlazingSaddles,Blazing Saddles,1974,"Comedy,Western",4.9,1518.0
82748,tt0084549,BlindChance,Przypadek,1987,Drama,4.2,154.0
94842,tt0096945,BlindFury,Blind Fury,1989,"Action,Comedy,Crime",5.4,12.0
324231,tt0337881,BlindHorizon,Blind Horizon,2003,"Drama,Mystery,Thriller",8.8,6.0
1821241,tt1297919,Blitz,Blitz,2011,"Action,Crime,Thriller",,
432981,tt0450259,BloodDiamond,Blood Diamond,2006,"Adventure,Drama,Thriller",7.2,13.0
3038108,tt2825230,BloodPunch,Blood Punch,2014,"Horror,Thriller",,
85112,tt0086979,BloodSimple,Blood Simple,1984,"Crime,Drama,Thriller",4.9,142.0
296577,tt0309377,BloodWork,Blood Work,2002,"Action,Crime,Drama",7.6,74.0
90672,tt0092675,Bloodsport,Bloodsport,1988,"Action,Biography,Drama",8.3,11.0
75651,tt0077247,BloodsuckingFreaks,The Incredible Torture Show,1976,"Comedy,Horror",5.1,58.0
80348,tt0082084,BloodyBirthday,Bloody Birthday,1981,"Horror,Thriller",6.1,9.0
2534967,tt2040295,BloodyHomecoming,Bloody Homecoming,2013,Horror,,
81385,tt0083156,BloodyMoon,Die Säge des Todes,1981,"Horror,Mystery,Thriller",6.4,941.0
268997,tt0280491,BloodySunday,Bloody Sunday,2002,"Drama,History,War",7.9,504.0
212179,tt0221027,Blow,Blow,2001,"Biography,Crime,Drama",7.4,7.0
204030,tt0212380,BlowDry,Blow Dry,2001,"Comedy,Drama,Romance",6.4,13.0
80349,tt0082085,BlowOut,Blow Out,1981,"Mystery,Thriller",3.5,388.0
106939,tt0109303,BlownAway,Blown Away,1994,"Action,Crime,Drama",8.4,629.0
2802565,tt2334873,BlueJasmine,Blue Jasmine,2013,Drama,,
2823607,tt2359024,BlueRuin,Blue Ruin,2013,"Crime,Drama,Thriller",,
175128,tt0181316,BlueStreak,Blue Streak,1999,"Action,Comedy,Crime",6.7,63.0
72714,tt0074226,BlueSunshine,Blue Sunshine,1977,"Horror,Thriller",8.4,37.0
83429,tt0085255,BlueThunder,Blue Thunder,1983,"Action,Crime,Drama",7.0,383.0
1652258,tt1120985,BlueValentine,Blue Valentine,2010,"Drama,Romance",,
273739,tt0285462,BoatTrip,Boat Trip,2002,Comedy,8.2,5.0
101602,tt0103850,BobRoberts,Bob Roberts,1992,"Comedy,Drama",4.9,51.0
104148,tt0106450,BodyMelt,Body Melt,1993,"Comedy,Horror,Sci-Fi",5.8,159.0
175737,tt0181984,BoilerRoom,Boiler Room,2000,"Crime,Drama,Thriller",4.2,44.0
461559,tt0479647,BonCopBadCop,"Bon Cop, Bad Cop",2006,"Action,Comedy,Crime",4.3,108.0
116100,tt0118749,BoogieNights,Boogie Nights,1997,Drama,4.8,19.0
71256,tt0072725,BossNigger,Boss Nigger,1974,"Comedy,Western",5.7,72.0
113204,tt0115734,BottleRocket,Bottle Rocket,1996,"Comedy,Crime,Drama",7.6,9.0
886803,tt0914797,BottleShock,Bottle Shock,2008,"Comedy,Drama",8.7,289.0
127868,tt0131325,Bowfinger,Bowfinger,1999,Comedy,6.8,10.0
104169,tt0106471,BoxingHelena,Boxing Helena,1993,"Drama,Mystery,Romance",5.2,38.0
443921,tt0461472,BoyCalledTwist,Boy Called Twist,2004,Drama,7.2,10.0
399266,tt0415679,BoyEatsGirl,Boy Eats Girl,2005,"Comedy,Fantasy,Horror",8.8,6.0
101624,tt0103872,BrainDonors,Brain Donors,1992,Comedy,6.1,37.0
101626,tt0103874,BramStokersDracula,Dracula,1992,Horror,5.5,11.0
113214,tt0115744,BrassedOff,Brassed Off,1996,"Comedy,Drama,Romance",6.5,13.0
780134,tt0804452,Bratz,Bratz,2007,"Comedy,Family,Music",6.8,13.0
74226,tt0075783,BreakerBreaker,Breaker! Breaker!,1977,"Action,Adventure,Crime",8.3,7041.0
78624,tt0080310,BreakerMorant,'Breaker' Morant,1980,"Drama,History,War",8.9,7.0
85132,tt0086999,Breakin2ElectricBoogaloo,Breakin' 2: Electric Boogaloo,1984,"Comedy,Drama,Musical",6.2,106.0
77267,tt0078902,BreakingAway,Breaking Away,1979,"Comedy,Drama,Romance",7.7,12995.0
377317,tt0393109,Brick,Brick,2005,"Action,Crime,Drama",7.5,44.0
92748,tt0094799,BrightLightsBigCity,"Bright Lights, Big City",1988,Drama,5.7,7.0
786336,tt0810784,BrightStar,Bright Star,2009,"Biography,Drama,Romance",7.1,8.0
197072,tt0204946,BringItOn,Bring It On,2000,"Comedy,Romance,Sport",7.8,8.0
29438,tt0029947,BringingUpBaby,Bringing Up Baby,1938,"Comedy,Family,Romance",5.9,10.0
90696,tt0092699,BroadcastNews,Broadcast News,1987,"Comedy,Drama,Romance",6.3,103.0
373109,tt0388795,BrokebackMountain,Brokeback Mountain,2005,"Drama,Romance",6.0,29.0
395713,tt0412019,BrokenFlowers,Broken Flowers,2005,"Comedy,Drama,Mystery",8.0,8.0
1701434,tt1172570,Bronson,Bronson,2008,"Action,Biography,Crime",,
1737416,tt1210042,BrooklynsFinest,Brooklyn's Finest,2009,"Crime,Drama,Thriller",,
302325,tt0315327,BruceAlmighty,Bruce Almighty,2003,"Comedy,Drama,Fantasy",9.1,20.0
1999434,tt1482989,BruceLeeMyBrother,Li xiao long,2010,"Biography,Drama",,
270146,tt0281686,BubbaHoTep,Bubba Ho-Tep,2002,"Comedy,Fantasy,Horror",7.5,224.0
247924,tt0258470,BubbleBoy,Bubble Boy,2001,"Adventure,Comedy,Romance",7.5,650.0
99300,tt0101516,Bugsy,Bugsy,1991,"Biography,Crime,Drama",7.2,595.0
72742,tt0074256,BugsyMalone,Bugsy Malone,1976,"Comedy,Crime,Family",3.4,69.0
106984,tt0109348,BulletsOverBroadway,Bullets Over Broadway,1994,"Comedy,Crime",6.8,94.0
61561,tt0062765,Bullitt,Bullitt,1968,"Action,Crime,Thriller",7.2,54.0
116148,tt0118798,Bulworth,Bulworth,1998,"Comedy,Drama,Romance",8.0,20.0
1710269,tt1181795,Bunraku,Bunraku,2010,"Action,Drama,Fantasy",,
72744,tt0074258,BurntOfferings,Burnt Offerings,1976,"Horror,Mystery,Thriller",6.9,24704.0
110170,tt0112602,Bushwhacked,Bushwhacked,1995,"Adventure,Comedy,Crime",5.4,132.0
2046602,tt1531901,Byzantium,Byzantium,2012,"Drama,Fantasy,Horror",,
85147,tt0087015,CHUD,C.H.U.D.,1984,"Horror,Sci-Fi",6.6,16.0
